#SampleID	Metaphlan2_Analysis
d__Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium_B;Methanobacterium_B sp003151535|p__Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium_B;Methanobacterium_B sp003151535|c__Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium_B;Methanobacterium_B sp003151535|o__Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium_B;Methanobacterium_B sp003151535|f__Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium_B;Methanobacterium_B sp003151535|g__Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium_B;Methanobacterium_B sp003151535|s__Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium_B;Methanobacterium_B sp003151535	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|o__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|o__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|f__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|o__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|f__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|g__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|o__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|f__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|g__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;|s__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|o__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|o__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|f__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|o__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|f__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|g__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;	1
d__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|p__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|c__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|o__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|f__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|g__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;|s__Archaea;Thermoplasmatota;E2;JACPAO01;JAHFTW01;JAHFTW01;	1
d__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;	1
d__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|p__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;	1
d__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|p__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|c__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;	1
d__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|p__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|c__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|o__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;	1
d__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|p__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|c__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|o__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|f__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;	1
d__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|p__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|c__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|o__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|f__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|g__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;	1
d__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|p__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|c__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|o__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|f__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|g__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;|s__Archaea;Thermoproteota;Bathyarchaeia;40CM-2-53-6;40CM-2-53-6;40CM-2-53-6;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|f__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|f__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|g__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|f__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|g__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;|s__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|f__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|f__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|g__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|f__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|g__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;|s__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;JACMLC01;	1
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;	5
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;	5
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;	5
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;	5
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|f__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;	5
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|f__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|g__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;	5
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|c__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|o__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|f__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|g__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;|s__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;PSRF01;	5
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;UBA11740;	8
d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;UBA11740;|p__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;UBA11740;	8
